"name","website","telephone","fax","description"
"HAT-SAN Shipyard Turkey ","www.hat-san.com.tr","+90 226 461 50 20","+90 530 520 42 93","HAT-SAN Shipyard will keep on serving in ship repair and maintenance to its worldwide clients soon with its new coming panamax size floating dock and vast berthing capacity.\nFACILITIES\nSlipways:Slipway 1: 180 x 52 m. equipped with a 2 x 125 ton gantry craneSlipway 2: 170 x 24 m. equipped with a 2 x 35 tons gantry crane\nFloating Dock:180 x 30 (inner beam) m. equipped with two outfitting cranes 10 tons lifting capacity each [ We are proud to announce that our floating dock “HAT-SAN DOCK 1” has been sold and delivered to our client in middle of March 2016. We will continue our ship repair activities soon with a “panamax size” floating dock by increasing our capacity. ]\nClosed Spaces:Total closed production area about 6000 m² and divided into three sections: First block production hall is equipped with a 10 tons and two pieces of 30 tons gantry cranes. Second block production hall has two gantry cranes of 50 tons and 10 tons gantry cranes. Third hall contains 200 ton bogs and 400 ton press for bending purposes and two pieces of CNC cutting machines. Third hall is also equipped with a 10 tons gantry crane. A warehouse of 3x 500 m² + 600 m² for storing new building machinery/equipment is on service. Painting hall, pipe production hall, machinery hall and waste storage area are under construction.\nProduction and Storage Areas:Block production area is about 5500 m² and has two pieces of 2x35 ton gantry cranes. Steel storage area is about 2300 m² and has a gantry crane of 10 tons. A crane of 8 ton x 63 m. is also helping to serve the open production areas and Slipway 1.However a crane of 8 ton x 63 m. is also helping to serve the open production areas and Slipway 1.\nPiers and Quay:Pier 1: 215 x 15 m. equipped with one 15 ton x 20 m. jib crane.Pier 2: 150 x 10 m.Quay: 75 x 10 m.\nhttp://www.youtube.com/watch?v=74x1lcQDEb8 "
"SALAMIS SHIPYARDS S.A. Greece ","www.salamis-shipyards.gr","+30.210-4674000","+30.210-4674254","SALAMIS SHIPYARDS S.A is located on Salamis Island, Greece. It was founded back in 1974 and throughout its history it has been identified with remarkable naval work. In 1992 the shipyards cameunder a new management.\nSalamis Shipyards S.A. during the last 4 years has completed successfully a number of highly-sophisticated ship conversions creating a rare know-how.\nOnly within the last year it completed the conversion of ships. Namely:\n    * Conversion of Oil Tanker to Bulkcarrier    * Conversion of Single to Double Hull Tanker    * Full IMO-III Tanker Outfitting    * Vessel Reconstruction    * Conversion-Extension-Upgrading of Aluminum Catamaran Fast Ferry    * ROPAX Conversion    * New Buildings"
"Dammam Shipyard Saudi Arabia ","www.dammamshipyard.com","+966-13-8698600","+966-13-8698686","Dammam Shipyard is managed by Al-Blagha Holding Group, a Saudi Arabian Limited Liability Company established in 1991 for the purpose of investing in various business activities including shipping, freight forwarding, port handling, ship building, ship repair and marine consultancy services.\nIn recent years the Group’s dynamic profile has expanded to include infrastructure development, construction and general investments.\nDock No: 2 with a lifting capacity of 10,000 tonnes deadweightLength along blocks: 165mLength over keel blocks: 150mClear width between runways: 35mImmersion depth above keel blocks:7.8mPumping time (approx): 95minsTwo Cranes (20m radius) 7 ton capacity\nDock No: 1 Dock with a lifting capacity of 22,000 tonnes deadweight,Length along blocks: 215mLength over keel blocks: 200mClear width between runways: 35MImmersion depth above keel blocks: 7.8MPumping time (approx): 90minsTwo Cranes (20m radius) 7 ton capacity"
"Torlak Shipyard Tuzla Turkey ","www.torlakshipyard.com","+ 90 216 493 7612","+ 90 216 392 9968","Torlak Shipyard was founded in early of 1900's as a Workshop which was building wooden vessels in Black Sea shores. Torlak family founded their first company in 1970, called ""Shipbuilding Company"" and contunied activites at Golden Horn/Istanbul until 1983. Torlak Shipyard is one of biggest ship repair / conversion enterprise in Türkiye.\nThere are more than 700 employees in the yard with its subcontractors’ workers. Its land covers 19,640 m2 and building area covers 3,070 m2. Its berth is 140 meters long. Shipyard has one of the biggest floating docks (18,000 TLC) in the region.\nRepair capacity is around 75 vessels per year and most of the clients are foreign shipping/management companies.\nFloating Docka. OVERALL LENGTH : 196 m.c. OVERALL HEIGHT : 16.10 m.e. OVERALL BREADTH : 39.40 mg.\nPONTOONDEPTH : 4.40 m.LIFTING CAPACITY : 18.000 tons"
"Nakilat Keppel Offshore & Marine (N-KOM) Qatar ","www.nkom.com.qa/en/","+974 4419 7300","+974 4419 7301","Established in 2007, Nakilat-Keppel Offshore & Marine Limited (N-KOM) is a joint-venture between Qatar Gas Transport Company (Nakilat), the world’s leading transporter of LNG, and Keppel Offshore & Marine, the global leader in offshore rig design, construction and repair, ship repair and conversion, and specialised shipbuilding.\nDrawing on the expertise and experience of its parent companies, N-KOM has the capabilities and infrastructure to provide a comprehensive range of marine, offshore and onshore services such as:\n- Ship repair & Conversion- Construction & Maintenance of Offshore/Onshore structures- Marine Services - Green Shipping & Gas solutions (BWMS, ME-GI conversion, scrubber systems, etc.)- Voyage/anchorage repairs\nSituated within the world-class Erhama Bin Jaber Al Jalahma Shipyard, N-KOM is strategically located near to gas terminals in the Port of Ras Laffan and at the centre of offshore activities in the Arabian Gulf.\nCertified by API for ISO 9001, ISO 14001 and OHSAS 18000, N-KOM prides itself as a provider of choice for safe, reliable and quality services and continues to forge strong partnerships with a broad range of clients and service vendors worldwide.\nFACILITIES\n2 Graving Docks: 360m x 66m , 400m x 80m 1 Floating Dock : 405m x 66m (Lifting Capacity: 120,000T)Cranes: 15 nos. (30T, 50T, 100T)Berthing Capacity: 3,150m (Draught:11m)Mobile Hoists: 300T, 1100TFabrication & laydown area: 320,600sqmWorkshops & worksites (Machinery, Piping, Steelworks, Electrical & Instrumentation, Cryogenic rooms, Blasting & painting chamber)"
"Caddell Dry Dock and Repair Co., Inc. ","www.caddelldrydock.com","+1-718-442-2112","+1-718-981-7493","CADDELL DRY DOCK AND REPAIR CO., INC accommodates a wide variety of marine vessels on its floating dry docks and piers. The Caddell facility is one of the largest full service shipyards in the New York Metropolitan Area. In addition to our dry docking services, we offer pier side repair work available on our network of eight piers with crane operations able to extend up to 200' and capable handling loads up to 6500 tons. Caddell has carried on the noble maritime tradition and legacy of a uniquely exceptional shipyard by providing quality and prompt service at competitive prices for the surounding New York City region for more than a century. Caddell provides the following ship repair services:\nDry docking and full repair of marine vesselsSurface coating operations (sandblasting and marine painting services)Certified weldingFull service electrical departmentFull service machine shopFull service carpentry shop\nElectric Shop, Machine Shop, Pipe Shop, Plate Shop, Sandblasting and Painting, Welding, Safety and Security, Crane Service."
"CHENGXI SHIPYARD CO. (Ex.Wenchong Shipyard & Guangzhou Dockyards ","www.chengxi.com","+86 20 36666731,+86 20 36666737 Tel: +86 20 36666738 Mobile: +86 13926039500  Mobile: +86 13503037855","+86 20 36666733","Located in Jiangyin city, Jiangsu province, the company covers an area of 980,000 square meters, with 2,152 meters river front and 1,630 meters outfitting quay. The company has 5 floating docks, in 170,000DWT, 120,000DWT, 100,000DWT, 80,000DWT, and 25,000DWT respectively and one slipway in 70,000DWT.\nAnd also, the company is rich in facilities and equipments of shiprepair, newbuilding and steel construction. The company is proud of the strong technical capability and the plenty of ship conversion experience as well as the annual production capacity of 240 vessels (up to 300,000DWT) for shiprepair and conversion, 10 vessels (up to 50,000DWT) for newbuilding and 50,000-ton steel for steel construction.\n""Jiang Shan"" Floating DockLOA 330 M x Inner Breadth 53.5 M Lifting Capacity 50,000 tons Docking Draft 12 meters\n""He Shan"" Floating DockLOA 285 M x Inner Breadth 48 M Lifting Capacity 35,000 tons Docking Draft 7 meters\n""Heng Shan"" Floating Dock LOA 257 M x Inner Breadth 42 M Lifting Capacity 26,000 tons Docking Draft 7 mters\n""Jin Shan"" Floating Dock LOA 265 M x Inner Breadth 40.8 M Lifting Capacity 18,850 tons Docking Draft 6.5 meters\n""Chang Shan"" Floating Dock LOA 189 M x Inner Breadth 28 M Lifting Capacity 13,000 tons Docking Draft 5 meters\nNo.1 Hengshan Road, Jiangyin City, Jiangsu Province, P. R. China, 214433\n \nMarketing Department of CHENGXI SHIPYARD (GUANGZHOU ) CO.,LTD. (Ex.Wenchong Shipyard & Guangzhou Dockyards) Tel:       +86 20 36666731Fax:       +86 20 36666733Mobile:   +86 13902234210 Address:    No.10 Qihang Road, Longxue Street, Nansha, Guangzhou,ChinaZipcode:    511462-China Sun Yinhua  Lin Jin Deputy Commercial Director Commercial Director\nTel: +86 20 36666737 Tel: +86 20 36666738 Mobile: +86 13926039500  Mobile: +86 13503037855\nEmail: sunyh@chengxigz.cn Email: linjin@chengxigz.cn\n "
"LOŠINJSKA PLOVIDBA - BRODOGRADILIŠTE d.o.o. ","www.shipyard-losinj.com.hr","+385-(0)51-750-200 (c), +385-(0)51-750-224","+385-(0)51-750-222","The shipyard of the ""Lošinjska plovidba"" has got a modern equipped workshops, operative docks and highly qualified personell.The Floating dock with a lifting power of 15000 tons is equipped with two mobile cranes of 8 or 4 tons, High Pressure Washing and Sand Blasting, and all facilities connected with the Floating dock.On the operational shore, there are also two mobile cranes. The lenght of the operational shore is 550 m, and all the ships with the draught down to 8 m can put in, so that the repairs can be carried out on loaded ships.\nThe shipyard has modern equipped workshops:- 550m lenght operative shore with two cranes,-15000 tons lifting capacity Floating dock ( max ship lenght 150m, max ship breadth external 27 m with mobile cranes of 8 and 4 t ),- highly qualified personnel."
"VIKTOR LENAC SHIPYARD Rijeka, Croatia ","www.lenac.hr","+385 51 405 555","+385 51 217 033","With its two floating drydocks, one accommodating vessels up to 160,000 dwt, more than 1,000 meters of berthing space, a large offshore construction site, a highly skilled workforce and a subcontractor infrastructure, is a modern shipyard capable of completing a wide variety of ship repair, conversion and offshore projects from relatively simple repair to complex conversion under strict deadlines and up to highest standards.\n\n\nFacilities\nTypeLengthWidth internalDraftLifting CapacityCrane\n\n\n\nFloating Dock\n261.7m\n53.0m\n9.5m\n60,000 tons\n2 x 18 tons\n\n\nFloating Dock\n201.5m\n33.8m\n6.0m\n19,000 tons\n2 x 15 tons\n\n\nFloating Dock\n155.5m\n24.5m\n4.7m\n8,500 tons\n7.5 tons 5 tons\n\n\n\nFully equipped repair berths totally 1,100 m, max draft 7.8 meters inside the bay. Cranes up 100 tons.\nAll berths are equipped with shore cranes, having maximum lifting capacity of 100 tonsOffshore construction area: 130,000 sqmBerthing space alongside offshore construction area: 300 m"
"Lindenau GmbH Schiffswerft & Maschinenfabrik Shipyard Germany ","www.lindenau-shipyard.de","+49 4331 207 450.","","The Lindenau GmbH Schiffswerft & Maschinenfabrik (shipyard) was founded in Memel in 1919 and is now one of the most innovative and productive middle-sized shipyards in Germany.The shipyard was re-established in Kiel-Friedrichsort in 1947, under the direction of Paul Lindenau, first manufacturing machines and machine parts. The first new ships were launched already in 1952.\n1 Floating    0   0  25000 2  Floating   0   0  25000 "" rel=""nofollow"" target=""_blank"">http://www.lindenau-shipyard.de/""> "
"Neorion Shipyard Holdings S.A Syros Greece ","www.neorion-shipyards.gr","+30.22810 96000","","Neorion Shipyard is strategically located on the island of Syros, in the heart of the Aegean Sea. An experienced management team, highly skilled and willing workforce, complement the ideal location and up to date facilities contribute to Neorion’s growing international reputation for fast and efficient service with a personal touch.Neorion Holdings S.A. was formed in 2004, for the purpose of optimizing the performance of the companies under the group which are Syros and Elefsis Shipyards.\nOn the 31st of January 2005, the company took the decision to extend its services to include consulting to third parties in areas such as financial, purchasing, entrepreneurial and human resources consulting.Additionally real estate development was included in the activities.\nAlready in Syros a commercial center has been completed on land that belongs to the company, as well as several other projects, which are developing housing in the same area. The Company is called Neorion to highlight the continuing importance of the ship repair and new build activity present since 1861 in Syros Island, which was the first organized industrial shipyard in Greece. Neorion Holdings S.A. is 100% owner of Shipbuilding and Industrial Enterprises of Syros and 70% owner of Elefsis Shipbuilding and Industrial Enterprises S.A. It also controls 100% of the Center for Vocational Training Ltd (KEK Neorion Ltd).\nFloating Dock No.1 75,000 dwt 254,00 m 35,0 m 25,000 t\nFloating Dock No.2 40,000 dwt 215,00 m 33,5 m 14,000 t"
"Slovenské lodenice Komárno ","www.slkb.sk","+421.35.7752670/+421.35.7752637","+421.35.7730739","The Komarno shipbuilding tradition dates back to the end of the 19th century, when the first local shipyard was founded to offer simple repairs of river ships and barges. Since then, generations of shipbuilders have constructed more than 1,900 sea and river-going vessels of various types, including passenger ships, tankers, bucket-dredgers, multi-purpose cargo ships, tug boats, and barges.\nWorkers: 1700Slipway for ships up to 3000t.Low assembly halls (110 x 15 x 8m)High assembly halls (100 x 20 x 14m) Cranes from 10 - 50swl\nUtilizing state-of-the-art design and production technology, the shipyard is able to meet even the strictest client requirements. Its unique production halls allow for a year-round production cycle, which significantly shortens delivery times."
"Chengxi Shipyard (Xinrong) China ","www.xrshipyard.com","86-523-89188888","86-523-89188918","Chengxi Shipyard (Xinrong) Co.,Ltd. is a joint venture corporation by Chengxi Shipyard Co., Ltd, HongKong Brilliant Hero Industrial Ltd., as a state-owned holding modern enterprise for ship repair & conversion.She located at Xingang port in Jingjiang city, Jiangsu province, North Latitude is 32°02'43'',East Logitude is 120°24.5'.The company has an advantage in road and water way transportation as it is adjacent to the port cities like Shanghai, Ningbo, Nantong and Zhangjiagang.There are more than 240 engineers and technicians in company,and covers an area of 230,000 square meters. There are two floating docks with deadweight capacity of 170,000 tons and 100,000 tons.\nOutfitting quay is 1060 meters, the front water depth being 12-20 meters and the main navigation channel 30 meters. The quay has been equipped with shore crane with lifting capacity of 60 tons/70meters X 2 sets,50 tons /100 meters X 2 sets, 32tons /72 meters X 2sets. Steel workshop covers an area of 16,000 square meters. Machinery & Electrical workshop covers an area of 20,000 square meters. Piping workshop covers an area of 7,000 square meters. Hatch covers paint cell covers an area of 10,000 square meters. Hatch covers repair place covers an area of 30,000 square meters with two sets gantry crane of 50 tons.\nDocks Jiangshan Floating 170,000 330mx 53.5m 50000THeshan    Floating 100,000 285mx 48.5m 35000T\nNo.1 760 -20.0 170,000 60Tx2, 50T x1No.2 300 -12.0 170,000 50Tx1,  32Tx2 "
"Hongkong United Dockyards  HUD ","www.hud.com.hk","(852) 2431 2828","(852) 2433 0180","HUD is Hong Kong's leading ship repairer with 160 years of tradition; providing dry-docking, afloat and harbour repair services in Hong Kong, the centre of international trade and commerce.\nHUD was established in 1973 as a result of the merger between Hongkong and Whampoa Dock Company and Taikoo Dockyard and Engineering Company, the two dominant forces in Hong Kong's ship repair industry at the time.\nHongkong United Dockyards (""HUD""), a joint venture between two of Asia's largest listed conglomerates, Hutchison Whampoa and Swire Pacific, is Hong Kong's leading provider of ship repair, harbour towage and salvage services. HUD is also a major contractor for steelwork, mechanical and electrical engineering work for industrial machinery and equipment.\nHUD is strategically located on a 100,000 square metre plot on Tsing Yi Island, Hong Kong, in close proximity to Kwai Chung Container Terminals and Hong Kong\nInternational Airport. The Group, operates 3 business divisions: \nHUD offers 24-hour ship repair services from its dockyard on Tsing Yi Island, which is in close proximity to Kwai Chung Container Terminals and Hong Kong International\nAirport. Facilities include one of the biggest floating docks in the region, capable of docking vessels up to 300m x 41.50m, deep water berth of up to 12.50m draft and\ntravelling cranes of up to 70 tonnes lifting capacity. The floating dock is supported by well-equipped steel, machine, pipe work, electrical and propeller workshops, with experienced project engineers and craftsmen.\nOur workshops are ISO 9001-2008 certified, ensuring quality repair and fabrication works. HUD is also the authorized service agent for Blohm + Voss Simplex Compact\nseals in this region.\nFloating Dock\nLifting capacity     40,000 tonnesOperational length     300.0mLength over blocks     270mOperational width     41.5mWater depth over blocks     10.0mTravelling cranes     1 x 70 tonnes1 x 30 tonnesDock arms     4 x 25mHigh pressure water washing     250 bar\n\nPower     VOLT     AMPAC 3 phase 50HZ     230400     800800AC 3 phase 60HZ(frequency changer)     440     750DC     115/230     1000\n"
"West Atlantic Shipyard Nigeria ","www.was-shipyard.com","+234(0) 805 710 09 09,+234(0) 805 710 18 19, +234(0)805 840 01 14","","Subsidiary of the PIRIOU group formed in 2004 in Nigeria and registered in the free zone in 2005, WEST ATLANTIC SHIPYARD set up on Bonny River, in the Onne Oil and Gas Free Zone (Port Harcourt - River state), to build support ships for the offshore oil and gas industry in accordance with the Nigerian Coastal and Inland Shipping Act and in keeping with the spirit of promoting ""local content""..\nThis free zone groups together all the services dedicated to the Oil and Gas business and the two ports Federal Ocean Terminal and Federal Light Terminal which accommodate almost 200 ships (AHTS, PSV, FSIV, crew boats, tugs and dredgers) specialised in the offshore oil business.Benefiting from the extensive experience and support of the PIRIOU group, WEST ATLANTIC SHIPYARD is the only modern shipbuilding and ship repair facility in the Gulf of Guinea.\nWEST ATLANTIC SHIPYARD started its activity by building aluminium crew-boats, from 18 to 32m in length."
"Ateliers Normand ","www.mecanique-marine-normand.com","+33(0)2 97 37 04 66","+33(0)2 97 37 03 54","Marine engine specialist since 1929, Ateliers NORMAND is based in Lorient (56) and La Turballe (44).  \nOUR TRADES:  Sale and installation of propulsion assemblies from 10 to 5,000 HP.  Mechanical maintenance and repair of fishing vessels, service ships, passenger ships, military ships and leisure craft.  Surveys, maintenance plans, and Operational Maintenance  Intervention of professional teams in France and abroad, wherever clients operate their ships.  \nOUR RESOURCES:  1 x 1,000m2 workshop in Lorient (56)  1 workshop in La Turballe (44)  1 x 650-ton boat lift .  1 refitting area compliant with environmental standards.  500 metres of outfitting quay."
"Piriou Naval Services ","www.piriou.com","(33)02 98 97 33 66","(33) 02 98 97 21 41","PIRIOU NAVAL SERVICES maintains, repairs and transforms all ships up to 110 m in length.Whether they are artisanal or industrial fishing vessels (trawlers, tuna boats, longliners, purse seiners, etc), service vessels (tugs, offshore oil, dredgers, cargo, barges, passenger ships, etc.), public service ships (warships, scientific research, surveillance, navigational aid tenders, etc.), or heritage ships (old sailing ships, etc.) or luxury leisure boats.\nOUR SKILLSGeneral hull maintenance, engines, deck and accommodation  Preventive and corrective maintenance  Transformation work (modernisation, refits and, lengthening, fitting new engines)  \nWe perform all ship repair work, including supervision and in-service support contracts Hull work (steel and aluminium metalwork)  Pipework  Carpentry and wooden structure  Drydocking - painting  Electrical work – electronics  HVAC  Engine installation - Laser alignment  Diesel maintenance  General mechanical work  \nOUR FACILITIESSlipway with a capacity of 350 tonnes:6 cradles for ships up to 35 X 8 m  Hydraulic ship lift - capacity of 2,000 tonnes:3 cradles for ships up to 110 X 18 m  130 X 27 m dry dock for ships up to 120 X 22m  250m outfitting quays "
"Cassens Werft GmbH ","www.cassens-werft.de","+49 4921 827-0","+49 4921 827-226","Cassens Werft GmbH is a medium-sized company currently employing 80 people who know that the company's success is based on traditional values, flexibility, compliance with deadline and first-class quality and workmanship. Our staff are used to respond flexibly, to rethink their approach and come up with new and innovative solutions.\nWith our team of experienced engineers, craftsmen and specialist technicians, we are able to carry out any type of ship repair work in a most efficient and flexible manner. We also repair and service steel and aluminium constructions. Customers value our high quality standards and competitive prices.\nDock     4500 t     116 m     21 m     4,0 m     1,2 m     2 x   5 t Berth capacity:1 x 240 m, crane capacity 14 t1 x 100 m, crane capacity 50 t1 x 140 m, crane capacity 12 t1 x 180 m, crane capacity 2x60 t"
"Qingao Beihai Shipbuilding Heavy Industry Co. ","www.bhshipyard.com.cn","Ship-repairing Branch 86756302 86756361 86756366","","Ship-repairing and Ship-conversion\nThe Ship-repairing Branch of BSIC , which has three ship-repairing dry docks ( such as one 300,000 dwt dry dock and one 150,000 dwt dry docks and one 100,000 dwt floating dry dock ) and which presently has 1,000 employees ( including more than 200 technical personnel with middle and/or high degree qualification), is engaged in the business of ship-repairing and ship-conversion for ship owners from Norway, Greece, USA, Germany, Japan, Korea, Iran, UK, Italy, Thailand, India, Malaysia, Singapore, and regions of Taiwan and Hong Kong, etc., with the approved certificates of quality management system of ISO9001, ISO2000, and being on the way of achieving the certificates of OSHMS and ISO14000.\nShip-repairing alongside wharfs for various ships bellow 500,000 dwt, Ship-repairing in dry dock and ahip-conversion for various ships bellow 300,000 dwt.\nShipbuildingThe construction of shipbuilding sector has been completed now and will mainly undertake the shipbuilding projects of large sized tankers, large sized bulk cargo vessels, large sized container ships, FPSO. The annual gross of shipbuilding will now reach more than 2,000,000 dwt and will reach 4,680,000 dwt in future."
"Vigor Shipyards Everett, Washington ","www.vigor.net","+1-425-259-0137","+1-425-258-2298","Vigor's four-acre Everett shipyard specializes in ship repair and refit. With ample lay down area and more than 1,000 feet of deep water pier space, our Everett yard offers a great support location for any maritime company.\nFacilities Specifications7 Cranes With up to 45t capacity2 Piers Total length of 1,200 ft (366m)\nOther3.6-acre facility10,000 sq ft (900m2) of covered fab and shop area Abundant laydown area\nFull-service yard Commercial and government vessels"
"Vigor Shipyards Seattle, WA ","www.vigor.net","+1-206-623-1635","+1-206-442-8505","Our 27-acre Seattle facility is ideal for new construction and repair for mid-sized to large vessels. Located at the hub of the maritime industry in the Pacific Northwest, we routinely service fishing vessels, ferries, barges, military ships, and offshore oil and gas vessels.\n2 Drydocks Vigilant Length: 528 ft (161m) Width: 88 ft (27m) Capacity: 13,000 LTDryDock #10 Length: 552 ft (168m) Width: 93 ft (28m) Capacity: 18,000 LT\n6 Piers Total length more than 3,000 ft (900m)12 Cranes Whirley, with up to 150t capacityOther 27-acre facility 170,000 sq ft (15,800m2) of covered fab and shop area."
"Vigor Shipyards Portland (formerly Todd Pacific Shipyards) ","www.vigorindustrial.com","+1- 503-247-1457","+1-503 247-6050","In February 2011, Vigor Industrial purchased Todd Shipyards Corporation and its subsidiary companies, Todd Pacific Shipyards and Everett Shipyard. With the purchase of Todd Shipyards, Vigor Industrial is able to offer expanded ship repair and new construction services in the Seattle and greater Puget Sound area. \nFacilities :\nDry Dock 3\n    * Lift capacity: 26,000 long tons (27,433 metric tons)    * Dimensions: 661 feet (201.5 m) long, 112.25 feet (34.2 m) wide    * Certified under US Navy MIL-STD 1625\nDry Dock 1\n    * Lift capacity: 15,000 long tons (15,241 metric tons)    * Dimensions: 598 feet (182.3 m) long, 88 feet (26.8 m) wide    * Certified under US Navy MIL-STD 1625\nLaunch & Load Systems\n    * Heavy-lift capabilities    * Vessel-launching capabilities    * Barge roll on/roll off capabilities\nCranes12 Whirley cranes with a tandem lift capacity of 220 long tons (223 metric tons)\nRepair & Lay-Up Berths\n    * 7,000 feet (2,133.6 m) of full-service repair berth    * Full access to crane service    * Full access to all utilities (compressed air, steam, natural gas, oxygen, electricity, telephone, potable water, fire protection water, ballast water, and sewer disposal)."
"Vigor Shipyards Ketchikan, Alaska ","www.vigor.net","+1-907-225-7199","+1-907-247-7200","Vigor operates the Ketchikan shipyard, which includes a brand new 70,000 square foot assembly hall along with an adjacent indoor fabrication shop.The yard is one of the most modern in the United States and provides an excellent year-round location for new builds, repair, and refit to support nearly any vessel working Alaska's waters.\n2 Drydocks DryDock #1 Length: 460 ft (140m) Width: 110 ft (34m) Capacity: 10,000 ltDryDock #2 Length: 225 ft (69m) Width: 85 ft (26m) Capacity: 3,600 lt 3 Cranes\nWith up to 150t capacity 1 Pier\nTotal length 1000 ft (305m) Other16.5-acre facility 130,000 sq ft (12,100m2) of covered fab and shop area\n70,000 sq ft (6,500m2) assemby hallFull-service shipbuilding and repair"
"2×1 Holding Cape Midia Shipyard Romania ","midiashipyard.ro","+40-241-255.633","+40-241-255.844","2×1 Holding Cape Midia Shipyard , a family of professionals dedicated to our customers and empowered by the strenght of our people. We seek challenges to create innovative solutions which make statements demonstrating our commitment to excellence. As we grow into the 21st century, we shall continually focus upon customer satisfaction , empoyee wellness and a sensitive balance between personal and professional fulfilment. Various types of vessels have been repaired at our yard , including merchant vessels , supply vessels , passenger vessels , military vessels, sailing vessels and offshore constructions. In addition to these activities we are involved in ship scrapping and sale of resulting materials mainly as second hand naval equipment and machinery. -conversion work-hatch cover repairs/renewal-any kind of steel work 2x1 Holding Cape Midia Shipyard     1 Floating     170     24      2 Floating      170      24       3 Floating      240      34"
"Damen Shiprepair Brest France ","www.damenshiprepair.com/brest/","+33 (0)2 98 43 43 43","+33 (0)2 98 44 47 22","Located at the entrance to the English Channel and directly fronting the North Atlantic Ocean, Damen Shiprepair Brest is strategically well located for many different trading routes to and from Europe. Capable of accommodating almost any ship. We have five berths at our quays and three large dry docks offering dry docking capacity for vessels or offshore units up to 420 meters long and up to 80 metres wide. We offer a broad range of services for many vessel types including LNG tankers, oil tankers, semi-submersibles, FPSOs, offshore construction vessels, jack-up rigs, shuttle tankers, cruise liners, ro-ro vessels and ferries. The highly skilled workforce is particularly well known for its LNG tanker expertise. Berth     Length     Max draft     Cranes     CranageBerth 1  320 m     8.5 m     3     90+12+4.5 tBerth 4  400 m     9.3 m     3     150+15+15 t Dry Dock   Length  Beam Max draft Cranes CranageDry Dock 1 220 m  27 m     7.3 m     1  30 tDry Dock 2 338 m  53 m     10.3 m     4  90+20+12+4.5 tDry Dock 3 420 m  80 m     10.3 m     3  150+15+15 t Rue Emile de Carcaradec29200 BrestFrancePostal address BP 3112229211 BrestFranceContact data P: +33 (0)2 98 43 43 43F: +33 (0)2 98 44 47 22E: info-dsbr@damen.com"
"Bulyard Shipbuilding Industry EAD Varna Bulgaria ","www.bulyard.com","+359 52 678 510","+359 52 613 179","The main activity of Bulyard Shipbuilding Industry EAD in the past as well as today is the construction of merchant ships in strict compliance with the highest standards in shipbuilding of various ship types. Bulyard Shipbuilding Industry EAD is capable of building specialized vessels on the grounds of class approved drawings, submitted by the shipowner and after the design team has elaborated the workshop documentation.\nBulyard Shipbuilding Industry EAD is the largest shipbuilding enterprise in Bulgaria. The company designs, constructs and repairs ships up to 100 000 DWT. Over 850 vessels for owners of 27 countries have been built for the over one-hundred years long history of the shipyard.\nThe product portfolio comprises Product Tankers, Chemical Tankers, Container Carriers, Bulk Carriers, General Cargo vessels, Coal Carriers and Multipurpose vessels.\nThe main facilities:\n\n\n\nDock\nLength/beam (m)\nDepth over keelblocks\nCapacity\nCranes\n\n\nDock 1\n237 x 40\n \n75.000 dwt\nUp to 800 mt\n\n\nDock 2\n187 x 28\n \n25.000 dwt\nUp to 500 mt\n\n\n"
"EBH Namibia Shipyard ","www.ebhnamibia.com","+264 64 218 6000","","Strategically situated in Walvis Bay Namibia, the company prides itself on its on-time delivery and track record of consistency and reliability making Elgin Brown & Hamer a trusted brand within the marine industrial industry. A project-orientated company, EBH Namibia offers holistic solutions to meet all its customers’ needs.\nOur stakeholders are aligned and fully engaged in the pursuit of a common goal – to boost our global competitiveness through sustainable organic growth whilst generating more value to all stakeholders involved of which very importantly is our customers.\nEBH Namibia is a highly successful smart partnership between the Namibian government and the private sector and provides the international shipping and local industry with a full house capacity in all aspects of ship repair. In 2006.\nApproximately 70% of vessels serviced on EBH Namibia floating docks are anchor handler tugs and platform support vessels operating in the oil & gas industry of West Africa. The remaining 30% consists of seismic vessels, sub-sea construction vessels, dredgers, tankers and container vessels.\nEBH Namibia’s highly efficient shipyard includes 3 floating docks, 7 cranes, 1 x 60T floating crane, with fully equipped onsite workshops. Our capacities are:\n                                            NAMDOCK 1     NAMDOCK 2  NAMDOCK 3Width at Entrance                  23.50m     23.50m        32.90mWidth between inner walls     25.00m     25.00m        33.50mLength over keel blocks        139.50m     139.50m   195.00mVessel draft maximum              5.80m     7.20m         8.50mLifting capacity                      8,000Mt     6,500Mt     15,000MtCranes     4T, 7T, 10T        2 x 5T     2 x 10TThrust well / dock pit        8.5m x 8.2m x 2.4m     None     10m x 6.4m x 4mAft swim platform well     None     None     2.55m x 5.55m x 2.5m"
